EMD,EMD_error,trial_index,arm_name,filters_1,kernel_1,pooling_1,stride_1,learning_rate,batch_size,trial_status,generation_method,units_1,units_2,OPs,info
1.585,0.523,94,94_0,32,5,False,4,0.0680545782524315,350,COMPLETED,GPEI,64.0,32.0,15984,"C: [32], K: [5], P: ['False'], S: [4], D: [64, 32]"
1.585,0.523,95,95_0,32,5,False,4,0.0679758056729365,350,COMPLETED,GPEI,64.0,32.0,15984,"C: [32], K: [5], P: ['False'], S: [4], D: [64, 32]"
1.585,0.523,96,96_0,32,5,False,4,0.0681516967374705,350,COMPLETED,GPEI,64.0,32.0,15984,"C: [32], K: [5], P: ['False'], S: [4], D: [64, 32]"
1.585,0.523,97,97_0,32,5,False,4,0.0681523504004364,350,COMPLETED,GPEI,64.0,32.0,15984,"C: [32], K: [5], P: ['False'], S: [4], D: [64, 32]"
1.585,0.523,98,98_0,32,5,False,4,0.0682041808049223,350,COMPLETED,GPEI,64.0,32.0,15984,"C: [32], K: [5], P: ['False'], S: [4], D: [64, 32]"
1.585,0.523,99,99_0,32,5,False,4,0.0680338504026822,350,COMPLETED,GPEI,64.0,32.0,15984,"C: [32], K: [5], P: ['False'], S: [4], D: [64, 32]"
2.012,0.679,0,0_0,8,3,True,2,0.0739237978458404,100,COMPLETED,Sobol,64.0,,8784,"C: [8], K: [3], P: ['True'], S: [2], D: [64]"
100.0,10.0,1,1_0,8,1,False,4,0.0821011022972874,200,COMPLETED,Sobol,32.0,,1712,"C: [8], K: [1], P: ['False'], S: [4], D: [32]"
2.132,0.731,2,2_0,16,3,True,2,0.0477283386061899,350,COMPLETED,Sobol,16.0,,7712,"C: [16], K: [3], P: ['True'], S: [2], D: [16]"
1.607,0.508,3,3_0,4,3,False,1,0.0339735203972086,50,COMPLETED,Sobol,32.0,,10288,"C: [4], K: [3], P: ['False'], S: [1], D: [32]"
100.0,10.0,4,4_0,4,3,True,2,0.0360211564467288,150,COMPLETED,Sobol,16.0,,2336,"C: [4], K: [3], P: ['True'], S: [2], D: [16]"
100.0,10.0,5,5_0,8,1,True,2,0.0160682750071398,200,COMPLETED,Sobol,16.0,,2080,"C: [8], K: [1], P: ['True'], S: [2], D: [16]"
100.0,10.0,6,6_0,4,3,False,1,0.083299877931457,50,COMPLETED,Sobol,64.0,,15440,"C: [4], K: [3], P: ['False'], S: [1], D: [64]"
3.432,1.521,7,7_0,16,1,False,4,0.0979989589678123,350,COMPLETED,Sobol,32.0,,2352,"C: [16], K: [1], P: ['False'], S: [4], D: [32]"
3.464,1.51,8,8_0,16,1,False,2,0.0785666811166331,100,COMPLETED,Sobol,16.0,,3616,"C: [16], K: [1], P: ['False'], S: [2], D: [16]"
100.0,10.0,9,9_0,32,5,False,1,0.0057902959711849,150,COMPLETED,Sobol,32.0,,140336,"C: [32], K: [5], P: ['False'], S: [1], D: [32]"
3.432,1.521,10,10_0,16,1,False,4,0.0648508738406934,200,COMPLETED,Sobol,64.0,,4432,"C: [16], K: [1], P: ['False'], S: [4], D: [64]"
2.21,0.817,11,11_0,4,1,False,1,0.052248758663237,150,COMPLETED,Sobol,16.0,,3616,"C: [4], K: [1], P: ['False'], S: [1], D: [16]"
100.0,10.0,12,12_0,16,3,False,4,0.0351043519772589,200,COMPLETED,Sobol,16.0,,2336,"C: [16], K: [3], P: ['False'], S: [4], D: [16]"
2.21,0.817,13,13_0,4,1,False,1,0.0930419832395389,50,COMPLETED,Sobol,16.0,,3616,"C: [4], K: [1], P: ['False'], S: [1], D: [16]"
1.845,0.595,14,14_0,8,1,False,1,0.0668610675021936,50,COMPLETED,GPEI,16.0,,6688,"C: [8], K: [1], P: ['False'], S: [1], D: [16]"
