EMD,EMD_error,trial_index,arm_name,filters_1,kernel_1,pooling_1,stride_1,filters_2,kernel_2,pooling_2,stride_2,units_1,trial_status,generation_method,units_2,units_3,filters_3,kernel_3,pooling_3,stride_3,OPs,info
2.472,0.84,4,4_0,8,5,FALSE,2,3,1,FALSE,2,32,COMPLETED,Sobol,25,,,,,,9384,"C: [8, 3], K: [5, 1], P: ['FALSE', 'FALSE'], S: [2, 2], D: [32, 25]"
2.485,0.869,3,3_0,,,,,,,,,51,COMPLETED,Sobol,,,,,,,8227,"C: [], K: [3], P: [], S: [], D: [51]"
2.505,0.99,1,1_0,55,5,TRUE,4,,,,,37,COMPLETED,Sobol,29,,,,,,18666,"C: [55], K: [5], P: ['TRUE'], S: [4], D: [37, 29]"
2.51,0.84,9,9_0,,,,,,,,,32,COMPLETED,GPEI,64,,,,,,10352,"C: [], K: [3], P: [], S: [], D: [32, 64]"
2.526,0.923,7,7_0,47,5,TRUE,2,8,1,FALSE,2,26,COMPLETED,Sobol,28,,16,5,FALSE,4,49630,"C: [47, 8, 16], K: [5, 1, 5], P: ['TRUE', 'FALSE', 'FALSE'], S: [2, 2, 4], D: [26, 28]"
2.581,0.833,6,6_0,,,,,,,,,64,COMPLETED,GPEI,,,,,,,10320,"C: [], K: [3], P: [], S: [], D: [64]"
2.594,1.103,8,8_0,11,5,TRUE,4,62,3,TRUE,2,,COMPLETED,Sobol,,,,,,,16874,"C: [11, 62], K: [5, 3], P: ['TRUE', 'TRUE'], S: [4, 2], D: []"
2.605,1.085,3,3_0,27,5,TRUE,1,30,1,TRUE,2,62,COMPLETED,Sobol,45,20,,,,,108459,"C: [27, 30], K: [5, 1], P: ['TRUE', 'TRUE'], S: [1, 2], D: [62, 45, 20]"
2.663,1.118,4,4_0,35,3,FALSE,4,6,5,FALSE,2,,COMPLETED,Sobol,,,,,,,13538,"C: [35, 6], K: [3, 5], P: ['FALSE', 'FALSE'], S: [4, 2], D: []"
2.728,1.025,7,7_0,25,5,TRUE,4,53,1,TRUE,4,48,COMPLETED,Sobol,17,31,,,,,16993,"C: [25, 53], K: [5, 1], P: ['TRUE', 'TRUE'], S: [4, 4], D: [48, 17, 31]"
2.729,1.073,9,9_0,12,3,FALSE,4,41,5,TRUE,4,20,COMPLETED,Sobol,41,64,,,,,36482,"C: [12, 41], K: [3, 5], P: ['FALSE', 'TRUE'], S: [4, 4], D: [20, 41, 64]"
2.75,1.077,8,8_0,13,5,TRUE,4,,,,,31,COMPLETED,Sobol,19,31,,,,,6955,"C: [13], K: [5], P: ['TRUE'], S: [4], D: [31, 19, 31]"
